Temperature of GF atoms: TimeStep(fs) T(Kelvin) 
   0.0000000000       304.000000000000000 
   0.0967560000       310.399999999999977 
   0.1935120000       321.139999999999986 
   0.2902680000       326.060000000000002 
   0.3870240000       313.959999999999980 
   0.4837800000       296.160000000000025 
   0.5805360000       286.009999999999991 
   0.6772920000       274.170000000000016 
   0.7740480000       247.110000000000014 
   0.8708040000       223.689999999999998 
   0.9675600000       207.240000000000009 
